GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
59611,"JPMorgan Chase, Sydney FX",693819,201605,-752.76
59611,"JPMorgan Chase, Sydney FX",693819,201606,387.56
59611,"JPMorgan Chase, Sydney FX",693819,201607,191.91
59611,"JPMorgan Chase, Sydney FX",693819,201608,143.48
59611,"JPMorgan Chase, Sydney FX",693819,201609,229.18
59611,"JPMorgan Chase, Sydney FX",693819,201610,-190.06
59611,"JPMorgan Chase, Sydney FX",693819,201611,-203.09
59611,"JPMorgan Chase, Sydney FX",693819,201612,-564.57
59611,"JPMorgan Chase, Sydney FX",693819,201701,689.41
59611,"JPMorgan Chase, Sydney FX",693819,201702,229.18
59611,"JPMorgan Chase, Sydney FX",693819,201703,-3.73
59611,"JPMorgan Chase, Sydney FX",693819,201704,-363.33
59611,"JPMorgan Chase, Sydney FX",693819,201705,-67.08
59611,"JPMorgan Chase, Sydney FX",693819,201706,380.1
59611,"JPMorgan Chase, Sydney FX",693819,201707,601.84
59611,"JPMorgan Chase, Sydney FX",693819,201708,-29.81
59611,"JPMorgan Chase, Sydney FX",693819,201709,-184.47
59611,"JPMorgan Chase, Sydney FX",693819,201710,-320.48
59611,"JPMorgan Chase, Sydney FX",693819,201711,-152.79
59611,"JPMorgan Chase, Sydney FX",693819,201712,322.35
59611,"JPMorgan Chase, Sydney FX",693819,201801,605.56
59611,"JPMorgan Chase, Sydney FX",693819,201802,-443.46
59611,"JPMorgan Chase, Sydney FX",693819,201803,-363.33
59611,"JPMorgan Chase, Sydney FX",693819,201804,-193.78
59611,"JPMorgan Chase, Sydney FX",693819,201805,-95.03
59611,"JPMorgan Chase, Sydney FX",693819,201806,-305.57
59611,"JPMorgan Chase, Sydney FX",693819,201807,111.79
59611,"JPMorgan Chase, Sydney FX",693819,201808,-171.42
59611,"JPMorgan Chase, Sydney FX",693819,201809,-96.89
59611,"JPMorgan Chase, Sydney FX",693819,201810,-374.52
59611,"JPMorgan Chase, Sydney FX",693819,201811,463.96
59611,"JPMorgan Chase, Sydney FX",693819,201812,-504.95
59611,"JPMorgan Chase, Sydney FX",693819,201901,223.59
59611,"JPMorgan Chase, Sydney FX",693819,201902,61.49
59611,"JPMorgan Chase, Sydney FX",693819,201903,-190.05
59611,"JPMorgan Chase, Sydney FX",693819,201904,-83.85
59611,"JPMorgan Chase, Sydney FX",693819,201905,-227.32
59611,"JPMorgan Chase, Sydney FX",693819,201906,122.98
112010,JP Morgan - USD,751280,201501,30355294.12
112010,JP Morgan - USD,751280,201502,16243965.98
112010,JP Morgan - USD,751280,201503,24551502.58
112010,JP Morgan - USD,751280,201504,48581934.22
112010,JP Morgan - USD,751280,201505,13279575.49
112010,JP Morgan - USD,751280,201506,14134964.56
112010,JP Morgan - USD,751280,201507,36125957.54
112010,JP Morgan - USD,751280,201508,-3860756.54
112010,JP Morgan - USD,751280,201509,72535375.91
112010,JP Morgan - USD,751280,201510,18922616.71
112010,JP Morgan - USD,751280,201511,25572773.22
112010,JP Morgan - USD,751280,201512,19242079.32
112010,JP Morgan - USD,751280,201601,46316882.37
112010,JP Morgan - USD,751280,201602,32143457.27
112010,JP Morgan - USD,751280,201603,31068858.87
112010,JP Morgan - USD,751280,201604,106435319.6
112010,JP Morgan - USD,751280,201605,-84004513.63
112010,JP Morgan - USD,751280,201606,-198027270
112010,JP Morgan - USD,751280,201607,23992579.56
112010,JP Morgan - USD,751280,201608,-47998165.01
112010,JP Morgan - USD,751280,201609,26856277.54
112010,JP Morgan - USD,751280,201610,-8996183.52
112010,JP Morgan - USD,751280,201611,527701525.7
112010,JP Morgan - USD,751280,201612,-52449409.65
112010,JP Morgan - USD,751280,201701,-24499510.1
112010,JP Morgan - USD,751280,201702,-5668532.18
112010,JP Morgan - USD,751280,201703,-44646695.97
112010,JP Morgan - USD,751280,201704,-22343451.19
112010,JP Morgan - USD,751280,201705,-29952468.65
112010,JP Morgan - USD,751280,201706,-34044730.53
112010,JP Morgan - USD,751280,201707,-81017262.81
112010,JP Morgan - USD,751280,201708,-86646926.41
112010,JP Morgan - USD,751280,201709,-80358359.79
112010,JP Morgan - USD,751280,201710,106835843.7
112010,JP Morgan - USD,751280,201711,-89921215.54
112010,JP Morgan - USD,751280,201712,-7510857.98
112010,JP Morgan - USD,751280,201801,49199873.29
112010,JP Morgan - USD,751280,201802,2209413.35
112010,JP Morgan - USD,751280,201803,-54204736
112010,JP Morgan - USD,751280,201804,11106356.41
112010,JP Morgan - USD,751280,201805,-75604247.03
112010,JP Morgan - USD,751280,201806,-91406211.62
112010,JP Morgan - USD,751280,201807,-134770252.1
112010,JP Morgan - USD,751280,201808,-413634.15
112010,JP Morgan - USD,751280,201809,-123619655.7
112010,JP Morgan - USD,751280,201810,-144648499.2
112010,JP Morgan - USD,751280,201811,-173997052.7
112010,JP Morgan - USD,751280,201812,-116107782.3
112010,JP Morgan - USD,751280,201901,-231870836.4
112010,JP Morgan - USD,751280,201902,-126955447.4
112010,JP Morgan - USD,751280,201903,-46557179.55
112010,JP Morgan - USD,751280,201904,-116102473.9
112010,JP Morgan - USD,751280,201905,-85154617.56
112010,JP Morgan - USD,751280,201906,-24685630.39
59610,"JPMorgan Chase, Sydney",777808,201501,58403.99
59610,"JPMorgan Chase, Sydney",777808,201502,200198.25
59610,"JPMorgan Chase, Sydney",777808,201503,-161325.45
59610,"JPMorgan Chase, Sydney",777808,201504,452.08
59610,"JPMorgan Chase, Sydney",777808,201505,-53668.65
59610,"JPMorgan Chase, Sydney",777808,201506,-41955.96
59610,"JPMorgan Chase, Sydney",777808,201507,-39254.86
59610,"JPMorgan Chase, Sydney",777808,201508,429898.24
59610,"JPMorgan Chase, Sydney",777808,201509,-190332.42
59610,"JPMorgan Chase, Sydney",777808,201510,-8144565.76
59610,"JPMorgan Chase, Sydney",777808,201511,122647.51
59610,"JPMorgan Chase, Sydney",777808,201512,-96124.83
59610,"JPMorgan Chase, Sydney",777808,201601,-53631.42
59610,"JPMorgan Chase, Sydney",777808,201602,187381.64
59610,"JPMorgan Chase, Sydney",777808,201603,-117000.95
59610,"JPMorgan Chase, Sydney",777808,201604,-104521.03
59610,"JPMorgan Chase, Sydney",777808,201605,-16623693.75
59610,"JPMorgan Chase, Sydney",777808,201606,42893.41
59610,"JPMorgan Chase, Sydney",777808,201607,11783042.48
59610,"JPMorgan Chase, Sydney",777808,201608,109183.66
59610,"JPMorgan Chase, Sydney",777808,201609,35659249.45
59610,"JPMorgan Chase, Sydney",777808,201610,-13822.63
59610,"JPMorgan Chase, Sydney",777808,201611,7955484.14
59610,"JPMorgan Chase, Sydney",777808,201612,426346.23
59610,"JPMorgan Chase, Sydney",777808,201701,-382053.97
59610,"JPMorgan Chase, Sydney",777808,201702,-125588.6
59610,"JPMorgan Chase, Sydney",777808,201703,13010311.25
59610,"JPMorgan Chase, Sydney",777808,201704,74847.96
59610,"JPMorgan Chase, Sydney",777808,201705,-58218.9
59610,"JPMorgan Chase, Sydney",777808,201706,-101498.47
59610,"JPMorgan Chase, Sydney",777808,201707,286301687.2
59610,"JPMorgan Chase, Sydney",777808,201708,-1171685.75
59610,"JPMorgan Chase, Sydney",777808,201709,36805810.25
59610,"JPMorgan Chase, Sydney",777808,201710,-36658076.93
59610,"JPMorgan Chase, Sydney",777808,201711,910448.8
59610,"JPMorgan Chase, Sydney",777808,201712,-1101323.45
59610,"JPMorgan Chase, Sydney",777808,201801,287236.97
59610,"JPMorgan Chase, Sydney",777808,201802,-180535.98
59610,"JPMorgan Chase, Sydney",777808,201803,305382.14
59610,"JPMorgan Chase, Sydney",777808,201804,52500.18
59610,"JPMorgan Chase, Sydney",777808,201805,-89607.29
59610,"JPMorgan Chase, Sydney",777808,201806,-11677696.96
59610,"JPMorgan Chase, Sydney",777808,201807,-10666.76
59610,"JPMorgan Chase, Sydney",777808,201808,124147.53
59610,"JPMorgan Chase, Sydney",777808,201809,-249853.27
59610,"JPMorgan Chase, Sydney",777808,201810,576406.01
59610,"JPMorgan Chase, Sydney",777808,201811,-442812.91
59610,"JPMorgan Chase, Sydney",777808,201812,-532678.25
59610,"JPMorgan Chase, Sydney",777808,201901,63929.09
59610,"JPMorgan Chase, Sydney",777808,201902,48582.23
59610,"JPMorgan Chase, Sydney",777808,201903,-83936.42
59610,"JPMorgan Chase, Sydney",777808,201904,135257.83
59610,"JPMorgan Chase, Sydney",777808,201905,164669.17
59610,"JPMorgan Chase, Sydney",777808,201906,-230131.9
112010,JP Morgan - USD,777809,201501,-226149.36
112010,JP Morgan - USD,777809,201502,-61721.92
112010,JP Morgan - USD,777809,201503,-2599.11
112010,JP Morgan - USD,777809,201504,-47430.12
112010,JP Morgan - USD,777809,201505,25035775.56
112010,JP Morgan - USD,777809,201506,41881.65
112010,JP Morgan - USD,777809,201507,54262.82
112010,JP Morgan - USD,777809,201508,19797.15
112010,JP Morgan - USD,777809,201509,6863.12
112010,JP Morgan - USD,777809,201510,-72662.03
112010,JP Morgan - USD,777809,201511,-41275.76
112010,JP Morgan - USD,777809,201512,-55928.44
112010,JP Morgan - USD,777809,201601,112.79
112010,JP Morgan - USD,777809,201602,-104921.27
112010,JP Morgan - USD,777809,201603,29961.9
112010,JP Morgan - USD,777809,201604,26647675.7
112010,JP Morgan - USD,777809,201605,-26554086.94
112010,JP Morgan - USD,777809,201606,1.10E-08
112010,JP Morgan - USD,777809,201607,1000
112010,JP Morgan - USD,777809,201608,-35780.75
112010,JP Morgan - USD,777809,201609,-42136.2
112010,JP Morgan - USD,777809,201610,-1.40E-11
112010,JP Morgan - USD,777809,201611,15526.8
112010,JP Morgan - USD,777809,201612,49017.12
112010,JP Morgan - USD,777809,201701,0
112010,JP Morgan - USD,777809,201702,0
112010,JP Morgan - USD,777809,201703,8285
112010,JP Morgan - USD,777809,201704,0
112010,JP Morgan - USD,777809,201705,140499.06
112010,JP Morgan - USD,777809,201706,-333809.5
112010,JP Morgan - USD,777809,201707,265558.91
112010,JP Morgan - USD,777809,201708,-104445.76
112010,JP Morgan - USD,777809,201709,-56427.05
112010,JP Morgan - USD,777809,201710,57925.13
112010,JP Morgan - USD,777809,201711,100016724.4
112010,JP Morgan - USD,777809,201712,-75202.28
112010,JP Morgan - USD,777809,201801,0.079999991
112010,JP Morgan - USD,777809,201802,-0.139999993
112010,JP Morgan - USD,777809,201803,-859.51
112010,JP Morgan - USD,777809,201804,859.8
112010,JP Morgan - USD,777809,201805,0.040000002
112010,JP Morgan - USD,777809,201806,-0.029999971
112010,JP Morgan - USD,777809,201807,71785.24
112010,JP Morgan - USD,777809,201808,-43495.21
112010,JP Morgan - USD,777809,201809,-0.019999921
112010,JP Morgan - USD,777809,201810,-272992.57
112010,JP Morgan - USD,777809,201811,278383.05
112010,JP Morgan - USD,777809,201812,97096.09
112010,JP Morgan - USD,777809,201901,0.119999973
112010,JP Morgan - USD,777809,201902,-0.199999988
112010,JP Morgan - USD,777809,201903,-1001.94
112010,JP Morgan - USD,777809,201904,-0.00999999
112010,JP Morgan - USD,777809,201905,300000
112010,JP Morgan - USD,777809,201906,45.68000001
112010,JP Morgan - USD,777818,201501,21483382.13
112010,JP Morgan - USD,777818,201502,18808775.07
112010,JP Morgan - USD,777818,201503,11122856.22
112010,JP Morgan - USD,777818,201504,19445027.5
112010,JP Morgan - USD,777818,201505,19810598.43
112010,JP Morgan - USD,777818,201506,36265414.95
112010,JP Morgan - USD,777818,201507,9092067.56
112010,JP Morgan - USD,777818,201508,1126154.82
112010,JP Morgan - USD,777818,201509,24334276.33
112010,JP Morgan - USD,777818,201510,13860103.99
112010,JP Morgan - USD,777818,201511,6902804.12
112010,JP Morgan - USD,777818,201512,23066857.8
112010,JP Morgan - USD,777818,201601,12431746.43
112010,JP Morgan - USD,777818,201602,12634650.97
112010,JP Morgan - USD,777818,201603,7406938.06
112010,JP Morgan - USD,777818,201604,7927076.98
112010,JP Morgan - USD,777818,201605,-7686602.92
112010,JP Morgan - USD,777818,201606,12889394.96
112010,JP Morgan - USD,777818,201607,4877319.04
112010,JP Morgan - USD,777818,201608,50133307.97
112010,JP Morgan - USD,777818,201609,-36127472.76
112010,JP Morgan - USD,777818,201610,9082248.43
112010,JP Morgan - USD,777818,201611,342104.18
112010,JP Morgan - USD,777818,201612,13680941.94
112010,JP Morgan - USD,777818,201701,-6192915.67
112010,JP Morgan - USD,777818,201702,5176999.15
112010,JP Morgan - USD,777818,201703,854881.43
112010,JP Morgan - USD,777818,201704,-147435.25
112010,JP Morgan - USD,777818,201705,-178789.87
112010,JP Morgan - USD,777818,201706,-3777788.67
112010,JP Morgan - USD,777818,201707,2070450.41
112010,JP Morgan - USD,777818,201708,-13946.94
112010,JP Morgan - USD,777818,201709,-648694.8
112010,JP Morgan - USD,777818,201710,-210053.54
112010,JP Morgan - USD,777818,201711,-3731.13
112010,JP Morgan - USD,777818,201712,1806.29
112010,JP Morgan - USD,777818,201801,-134038.13
112010,JP Morgan - USD,777818,201802,-314660.36
112010,JP Morgan - USD,777818,201803,13860
112010,JP Morgan - USD,777818,201804,4657.26
112010,JP Morgan - USD,777818,201805,-181348.93
112010,JP Morgan - USD,777818,201806,32714.91
112010,JP Morgan - USD,777818,201807,65489.14
112010,JP Morgan - USD,777818,201808,80316.72
112010,JP Morgan - USD,777818,201809,787439.38
112010,JP Morgan - USD,777818,201810,251635.02
112010,JP Morgan - USD,777818,201811,4698074.61
112010,JP Morgan - USD,777818,201812,-27401.32
112010,JP Morgan - USD,777818,201901,-8513960.69
112010,JP Morgan - USD,777818,201902,24784.91
112010,JP Morgan - USD,777818,201903,-5082559.93
112010,JP Morgan - USD,777818,201904,3018.25
112010,JP Morgan - USD,777818,201905,77352.65
112010,JP Morgan - USD,777818,201906,127969.52
59610,"JPMorgan Chase, Sydney",784028,201501,-8465030.29
59610,"JPMorgan Chase, Sydney",784028,201502,20199558.67
59610,"JPMorgan Chase, Sydney",784028,201503,99094426.93
59610,"JPMorgan Chase, Sydney",784028,201504,-45785916.95
59610,"JPMorgan Chase, Sydney",784028,201505,81568604.58
59610,"JPMorgan Chase, Sydney",784028,201506,-70299020.55
59610,"JPMorgan Chase, Sydney",784028,201507,-14677670.37
59610,"JPMorgan Chase, Sydney",784028,201508,-10105187.85
59610,"JPMorgan Chase, Sydney",784028,201509,205851643.9
59610,"JPMorgan Chase, Sydney",784028,201510,-179486761.2
59610,"JPMorgan Chase, Sydney",784028,201511,41913616.34
59610,"JPMorgan Chase, Sydney",784028,201512,33825704.96
59610,"JPMorgan Chase, Sydney",784028,201601,-35705663.31
59610,"JPMorgan Chase, Sydney",784028,201602,17554234.91
59610,"JPMorgan Chase, Sydney",784028,201603,8556874.01
59610,"JPMorgan Chase, Sydney",784028,201604,-47646461.24
59610,"JPMorgan Chase, Sydney",784028,201605,-19278355.29
59610,"JPMorgan Chase, Sydney",784028,201606,263590827.6
59610,"JPMorgan Chase, Sydney",784028,201607,-9437896.56
59610,"JPMorgan Chase, Sydney",784028,201608,-30915376.63
59610,"JPMorgan Chase, Sydney",784028,201609,31196821.93
59610,"JPMorgan Chase, Sydney",784028,201610,-19086235.94
59610,"JPMorgan Chase, Sydney",784028,201611,11626549.77
59610,"JPMorgan Chase, Sydney",784028,201612,-28966200.5
59610,"JPMorgan Chase, Sydney",784028,201701,158866841
59610,"JPMorgan Chase, Sydney",784028,201702,-3992847.35
59610,"JPMorgan Chase, Sydney",784028,201703,-12830050.32
59610,"JPMorgan Chase, Sydney",784028,201704,-36093629.63
59610,"JPMorgan Chase, Sydney",784028,201705,60112736.88
59610,"JPMorgan Chase, Sydney",784028,201706,-10608535.87
59610,"JPMorgan Chase, Sydney",784028,201707,34517219.06
59610,"JPMorgan Chase, Sydney",784028,201708,-2936842.52
59610,"JPMorgan Chase, Sydney",784028,201709,13705269.65
59610,"JPMorgan Chase, Sydney",784028,201710,-38897384.7
59610,"JPMorgan Chase, Sydney",784028,201711,-8506900.56
59610,"JPMorgan Chase, Sydney",784028,201712,-44669955.52
59610,"JPMorgan Chase, Sydney",784028,201801,74255835.69
59610,"JPMorgan Chase, Sydney",784028,201802,-2437389.05
59610,"JPMorgan Chase, Sydney",784028,201803,-61029417.88
59610,"JPMorgan Chase, Sydney",784028,201804,5749834.37
59610,"JPMorgan Chase, Sydney",784028,201805,-441802.11
59610,"JPMorgan Chase, Sydney",784028,201806,-10341783.67
59610,"JPMorgan Chase, Sydney",784028,201807,-3839016.02
59610,"JPMorgan Chase, Sydney",784028,201808,-17190607
59610,"JPMorgan Chase, Sydney",784028,201809,-14458160.44
59610,"JPMorgan Chase, Sydney",784028,201810,8083634.23
59610,"JPMorgan Chase, Sydney",784028,201811,338373.27
59610,"JPMorgan Chase, Sydney",784028,201812,-87708870.55
59610,"JPMorgan Chase, Sydney",784028,201901,49021645.16
59610,"JPMorgan Chase, Sydney",784028,201902,1167564.03
